Document Title,Abstract,Year,PDF Link,label
Hypoxia promotes danger-mediated inflammation via receptor for advanced glycation end products in cystic fibrosis.,"Hypoxia regulates the inflammatory-antiinflammatory balance by the receptor for advanced glycation end products (RAGE), a versatile sensor of damage-associated molecular patterns. The multiligand nature of RAGE places this receptor in the midst of chronic inflammatory diseases.To characterize the impact of the hypoxia-RAGE pathway on pathogenic airway inflammation preventing effective pathogen clearance in cystic fibrosis (CF) and elucidate the potential role of this danger signal in pathogenesis and therapy of lung inflammation.We used in vivo and in vitro models to study the impact of hypoxia on RAGE expression and activity in human and murine CF, the nature of the RAGE ligand, and the impact of RAGE on lung inflammation and antimicrobial resistance in fungal and bacterial pneumonia.Sustained expression of RAGE and its ligand S100B was observed in murine lung and human epithelial cells and exerted a proximal role in promoting inflammation in murine and human CF, as revealed by functional studies and analysis of the genetic variability of AGER in patients with CF. Both hypoxia and infections contributed to the sustained activation of the S100B-RAGE pathway, being RAGE up-regulated by hypoxia and S100B by infection by Toll-like receptors. Inhibiting the RAGE pathway in vivo with soluble (s) RAGE reduced pathogen load and inflammation in experimental CF, whereas sRAGE production was defective in patients with CF.A causal link between hyperactivation of RAGE and inflammation in CF has been observed, such that targeting pathogenic inflammation alleviated inflammation in CF and measurement of sRAGE levels could be a useful biomarker for RAGE-dependent inflammation in patients with CF.",2014,24127697,no
Consumption of gluten with gluten-degrading enzyme by celiac patients: a pilot-study.,"To assesses the safety and efficacy of Aspergillus niger prolyl endoprotease (AN-PEP) to mitigate the immunogenic effects of gluten in celiac patients.Patients with initial diagnosis of celiac disease as confirmed by positive serology with subtotal or total villous atrophy on duodenal biopsies who adhere to a strict gluten-free diet (GFD) resulting in normalised antibodies and mucosal healing classified as Marsh 0 or I were included. In a randomised double-blind placebo-controlled pilot study, patients consumed toast (approximately 7 g/d gluten) with AN-PEP for 2 wk (safety phase). After a 2-wk washout period with adherence of the usual GFD, 14 patients were randomised to gluten intake with either AN-PEP or placebo for 2 wk (efficacy phase). Measurements at baseline included complaints, quality-of-life, serum antibodies, immunophenotyping of T-cells and duodenal mucosa immunohistology. Furthermore, serum and quality of life questionnaires were collected during and after the safety, washout and efficacy phase. Duodenal biopsies were collected after the safety phase and after the efficacy phase. A change in histological evaluation according to the modified Marsh classification was the primary endpoint.In total, 16 adults were enrolled in the study. No serious adverse events occurred during the trial and no patients withdrew during the trial. The mean score for the gastrointestinal subcategory of the celiac disease quality (CDQ) was relatively high throughout the study, indicating that AN-PEP was well tolerated. In the efficacy phase, the CDQ scores of patients consuming gluten with placebo or gluten with AN-PEP did not significantly deteriorate and moreover no differences between the groups were observed. During the efficacy phase, neither the placebo nor the AN-PEP group developed significant antibody titers. The IgA-EM concentrations remained negative in both groups. Two patients were excluded from entering the efficacy phase as their mucosa showed an increase of two Marsh steps after the safety phase, yet with undetectable serum antibodies, while 14 patients were considered histologically stable on gluten with AN-PEP. Also after the efficacy phase, no significant deterioration was observed regarding immunohistological and flow cytometric evaluation in the group consuming placebo compared to the group receiving AN-PEP. Furthermore, IgA-tTG deposit staining increased after 2 wk of gluten compared to baseline in four out of seven patients on placebo. In the seven patients receiving AN-PEP, one patient showed increased and one showed decreased IgA-tTG deposits.AN-PEP appears to be well tolerated. However, the primary endpoint was not met due to lack of clinical deterioration upon placebo, impeding an effect of AN-PEP.",2014,24124328,no
Distinct mechanisms for spiro-carbon formation reveal biosynthetic pathway crosstalk.,"Spirotryprostatins, an indole alkaloid class of nonribosomal peptides isolated from Aspergillus fumigatus, are known for their antimitotic activity in tumor cells. Because spirotryprostatins and many other chemically complex spiro-carbon-bearing natural products exhibit useful biological activities, identifying and understanding the mechanism of spiro-carbon biosynthesis is of great interest. Here we report a detailed study of spiro-ring formation in spirotryprostatins from tryprostatins derived from the fumitremorgin biosynthetic pathway, using reactants and products prepared with engineered yeast and fungal strains. Unexpectedly, FqzB, an FAD-dependent monooxygenase from the unrelated fumiquinazoline biosynthetic pathway, catalyzed spiro-carbon formation in spirotryprostatin A via an epoxidation route. Furthermore, FtmG, a cytochrome P450 from the fumitremorgin biosynthetic pathway, was determined to catalyze the spiro-ring formation in spirotryprostatin B. Our results highlight the versatile role of oxygenating enzymes in the biosynthesis of structurally complex natural products and indicate that cross-talk of different biosynthetic pathways allows product diversification in natural product biosynthesis. ",2014,24121553,no
GfsA encodes a novel galactofuranosyltransferase involved in biosynthesis of galactofuranose antigen of O-glycan in Aspergillus nidulans and Aspergillus fumigatus.,"The cells walls of filamentous fungi in the genus Aspergillus have galactofuranose (Galf)-containing polysaccharides and glycoconjugates, including O-glycans, N-glycans, fungal-type galactomannan and glycosylinositolphosphoceramide, which are important for cell wall integrity. Here, we attempted to identify galactofuranosyltransferases that couple Galf monomers onto other wall components in Aspergillus nidulans. Using reverse-genetic and biochemical approaches, we identified that the AN8677 gene encoded a galactofuranosyltransferase, which we called GfsA, involved in Galf antigen biosynthesis. Disruption of gfsA reduced binding of β-Galf-specific antibody EB-A2 to O-glycosylated WscA protein and galactomannoproteins. The results of an in-vitro Galf antigen synthase assay revealed that GfsA has β1,5- or β1,6-galactofuranosyltransferase activity for O-glycans in glycoproteins, uses UDP-d-Galf as a sugar donor, and requires a divalent manganese cation for activity. GfsA was found to be localized at the Golgi apparatus based on cellular fractionation experiments. ΔgfsA cells exhibited an abnormal morphology characterized by poor hyphal extension, hyphal curvature and limited formation of conidia. Several gfsA orthologues were identified in members of the Pezizomycotina subphylum of Ascomycota, including the human pathogen Aspergillus fumigatus. To our knowledge, this is the first characterization of a fungal β-galactofuranosyltransferase, which was shown to be involved in Galf antigen biosynthesis of O-glycans in the Golgi.",2014,24118544,no
Synthesis of fungal glycolipid asperamide B and investigation of its ability to stimulate natural killer T cells.,"The relationship between mold and asthma has been recognized for decades, but the molecular triggers of asthma generated by molds have not been fully elucidated. A glycolipid generated by Aspergillus species has recently been identified that triggers airway hyperreactivity via natural killer T cell activation. The synthesis of this glycolipid and structural variants designed to allow identification of the features of this glycolipid required for recognition by natural killer T cells is described. ",2014,24111801,no
Invasive aspergillosis in intensive care unit patients in Iran.,"We assessed the intensive care unit (ICU) patients for Invasive aspergillosis (IA) with culture and non-culture based diagnostic methods from Iran. Thirty-six ICU patients with underlying predisposing conditions for IA were enrolled in the study. Sixty eight Bronchoalveolar lavage (BAL) samples were collected by bronchoscope twice a weekly. BAL samples were analyzed by microscopic examination, fungal culture and galactomannan (GM) detection. The Platelia Aspergillus GM EIA was used to quantify GM indices. Samples with a BAL GM index > or = 1 were considered as positive for GM. Patients were classified as having probable or possible IA. Out of 36 suspected patients to IA, 36.1% of cases showed IA which were categorized as: 4 cases of possible IA and 9 of probable IA. 76.2% of BAL samples were positive for GM. From 13 patients with IA, 11 (84.6%) had at least one positive BAL GM index. Of these patients, 9 (81.8%) showed probable IA. The main underlying predisposing conditions were neutropenia (53.8%) and COPD (30.8%). Our study has indicated that COPD must be considered as one of the main predisposing condition for occurrence of aspergillosis in ICU patients. Our data have also revealed that GM detection in BAL samples play a significant role to IA diagnosis.",2014,24069658,no
Invasive aspergillosis in patients with severe alcoholic hepatitis.,"Severe alcoholic hepatitis (AH) has a poor short-term prognosis. Although infections are frequent complications of AH, the incidence of invasive aspergillosis (IA) and its impact on outcome remain unknown.We prospectively followed 94 biopsy-proven severe AH episodes for 3 months. We retrospectively reviewed our diagnosis of IA based on EORTC/MSG and AspICU criteria, except for host factors.Fifteen IA (6 proven, 8 probable, and 1 possible) were diagnosed after a median delay of 26 days following diagnosis of AH. The sites of infection were the lungs (n=11) and central nervous system (n=2), while IA was disseminated in 2 cases. Baseline MELD score ≥24 and ICU admission were independent risk factors for IA. Thirteen IA occurred in the context of corticosteroids, and 2 had received no specific treatment for AH. Non-response to corticosteroids at day 7 was not a risk factor for IA, but IA was associated with absence of liver improvement at day 28. Despite antifungal treatment, 3-month transplant-free survival of patients with IA was 0% compared to 53% in those without IA. IA, Lille score ≥0.45, and overt encephalopathy were independent predictors of transplant-free mortality.IA is a frequent complication of severe AH and carries a very high risk of mortality. Systematic screening for IA should be recommended in these patients. Further studies are needed to identify high-risk populations requiring antifungal prophylactic treatment.",2014,24055548,no
"Recent advances in the treatment of life-threatening, invasive fungal infections.","Invasive fungal infections (IFIs) pose significant morbidity and are often life-threatening to many high-risk patients. Timely diagnosis and treatment of these infections with optimal therapy is imperative.Advances have been made in diagnostic biomarkers such as peptide nucleic acid fluorescent in situ hybridization, β-D-glucan and galactomannan, although more research is needed in this area to assist with both diagnosis and monitoring for improvement of IFI management. Novel antifungal agents (azole antifungals and echinocandins) are being investigated that have activity against Candida spp. and Aspergillus spp. Optimizing the pharmacodynamics (PD) of our current antifungal therapies through such strategies as continuous infusion of amphotericin B and dose escalation of echinocandins and liposomal formulations of amphotericin B have also been investigated with mixed results. Therapeutic drug monitoring (TDM) shows promise as evident from data with such agents as flucytosine, itraconazole, voriconazole and posaconazole.The goal for the future of biomarkers in IFIs will be to have excellent sensitivity and specificity to ideally identify a particular fungus causing the infection or eliminate its existence to prevent unnecessary costs, resistance and antifungal usage. In addition, further developments of new antifungals are needed and judicious use of the current regimens needs to be optimized through antifungal PD properties and TDM.",2014,24050675,no
Serum galactomannan assay for diagnosis of probable invasive Aspergillosis in acute leukemia and hematopoietic stem cell transplantation.,"Invasive aspergillosis (IA) is a leading cause of mortality in acute leukemia and hematopoietic stem cell transplantation (HSCT).To determine the yield of galactomannan (GM) assay for the diagnosis of probable IA, its temporal relationship with the computed tomography (CT) scans and correlation with mortality in AL and HSCT.Consecutive neutropenic episodes (n=150) among inpatients aged ≥15 years with AL or recipients of HSCT were prospectively evaluated over 1½ years. All patients underwent weekly serum GM assay and optical density index >0.5 for ≥2 samples was defined as positive. IA was diagnosed according to EORTC 2008 guidelines.Of the 150 episodes enrolled, 43 (28.7%) were diagnosed with IA: possible 25 (16.7%), probable 17 (11.3%) and proven 1 (0.7%). The yield of GM assay in diagnosing probable IA was 17/42 (40.5%). In 88.2% of probable IA episodes, GM was positive before high-resolution CT at a median of 10 days (range 1-16). In the episodes with ≥2 samples tested, fatality was higher in those ≥2 values positive for GM, compared to the rest (31% vs. 13.2%, odd ratio 2.96, 95% CI 1.09-8.00 P=0.04).In AL and HSCT, GM assay could identify patients with probable IA earlier than CT chest and also predicted a higher risk of death.",2013,24049291,yes
An investigation on the relationship between the occurrence of CMV DNAemia and the development of invasive aspergillosis in the allogeneic stem cell transplantation setting.,"Cytomegalovirus (CMV) infection might increase the risk of fungal superinfection in allogeneic stem cell transplant patients. The potential association between the occurrence of CMV DNAemia and the development of invasive aspergillosis in this clinical setting was investigated. The current retrospective observational study included 167 patients undergoing T cell-replete allogeneic stem cell transplantation. Virological monitoring of active CMV infection was performed by the pp65 antigenemia assay and/or by a plasma real-time PCR assay. A total of 109 out of 167 patients developed CMV DNAemia. Twenty-three patients had proven (n = 4) or probable (n = 19) invasive aspergillosis. The occurrence of CMV DNAemia was not significantly associated with the subsequent development of invasive aspergillosis (P = 0.38). Overall, the duration of the episodes of active CMV infection and the peak level of CMV DNAemia within the episodes were comparable, irrespective of whether invasive aspergillosis developed subsequently or not (P = 0.99 P = 0.70, respectively). Peak CMV DNA load in patients with proven or probable invasive aspergillosis who died was higher (median, 5,461 copies/ml) than that in those who survived (median 1,179 copies/ml) (P = 0.41). The data argue against the existence of an association between the occurrence of CMV DNAemia and the development of invasive aspergillosis, however, CMV replication, particularly at high levels, might aggravate the prognosis of this disease.",2014,24037906,no
Characterization of specific immune responses to different Aspergillus antigens during the course of invasive Aspergillosis in hematologic patients.,"Several studies in mouse model of invasive aspergillosis (IA) and in healthy donors have shown that different Aspergillus antigens may stimulate different adaptive immune responses. However, the occurrence of Aspergillus-specific T cells have not yet been reported in patients with the disease. In patients with IA, we have investigated during the infection: a) whether and how specific T-cell responses to different Aspergillus antigens occur and develop b) which antigens elicit the highest frequencies of protective immune responses and, c) whether such protective T cells could be expanded ex-vivo. Forty hematologic patients have been studied, including 22 patients with IA and 18 controls. Specific T cells producing IL-10, IFN-γ, IL-4 and IL-17A have been characterized through enzyme linked immunospot and cytokine secretion assays on 88 peripheral blood (PB) samples, by using the following recombinant antigens: GEL1p, CRF1p, PEP1p, SOD1p, α1-3glucan, β1-3glucan, galactomannan. Specific T cells were expanded through short term culture. Aspergillus-specific T cells producing non-protective interleukin-10 (IL-10) and protective interferon-gamma (IFN-γ) have been detected to all the antigens only in IA patients. Lower numbers of specific T cells producing IL-4 and IL-17A have also been shown. Protective T cells targeted predominantly Aspergillus cell wall antigens, tended to increase during the IA course and to be associated with a better clinical outcome. Aspergillus-specific T cells could be successfully generated from the PB of 8 out of 8 patients with IA and included cytotoxic subsets able to lyse Aspergillus hyphae. Aspergillus specific T-cell responses contribute to the clearance of the pathogen in immunosuppressed patients with IA and Aspergillus cell wall antigens are those mainly targeted by protective immune responses. Cytotoxic specific T cells can be expanded from immunosuppressed patients even during the infection by using the above mentioned antigens. These findings may be exploited for immunotherapeutic purposes in patients with IA. ",2014,24023936,no
Phylogenetic analysis and substrate specificity of GH2 β-mannosidases from Aspergillus species.,"Phylogenetic analysis of glycoside hydrolase family 2 including Aspergillus sequences and characterised β-mannosidases from other organisms, clusters putative Aspergillus β-mannosidases in two distinct clades (A and B). Aspergillus species have at least one paralog in each of the two clades. It appears that clade A members are extracellular and clade B members intracellular. Substrate specificity analysis of MndA of Aspergillus niger (clade A) and MndB of Aspergillus nidulans (clade B) show that MndB, in contrast to MndA, does not hydrolyse polymeric mannan and has probably evolved to hydrolyse small unbranched β-mannosides like mannobiose. A 3D-model of MndB provides further insight. ",2014,24021641,no
Control of airborne and liquid-borne fungal and pet allergens using microwave irradiation.,"In this study, the dog, cat allergens (Can f 1 and Fel d 1) and fungal allergens (Alt a 1 and Asp f 1) were aerosolized and exposed to the microwave irradiation (2450 MHz) at different output powers for up to 2 min. The allergen bioaerosols were collected by a BioSampler, and analyzed using enzyme-linked immunosorbent assay (ELISA). Control and microwave-irradiated Asp f 1 allergens were also tested with IgEs in human blood sera samples. For airborne Asp f 1 and Alt a 1 allergens, the allergenicity was shown to decrease about 50% when exposed to microwave irradiation at 385 and 119 W and relatively no change at 700 W. For airborne Can f 1 allergen, the allergenicity was shown to increase about 70% when exposed to the irradiation at 385 W, but remained relatively unchanged at 700 and 119 W. In contrast, airborne Fel d 1 allergen was observed to lose allergenicity completely at 700 W, and retained about 40% and 80% at 385 and 119 W, respectively. Radioallergosorbent (RAST) tests showed that changes detected in IgE levels in human blood sera mixtures were not statistically significant for the control and microwave-irradiated waterborne Asp f 1 allergens. This study implies that although certain allergenicity reductions were observed for some allergens in certain cases, particular care should be taken when the microwave irradiation is used to disinfect food, water, and air because of its complex effects. ",2014,24011331,no
Comparative evaluation of galactomannan optical density indices and culture results in bronchoscopic specimens obtained from neutropenic and non-neutropenic patients.,"Aspergillus infections are major causes of morbidity and mortality among immunocompromised patients. This study was designed to investigate the galactomannan assay optical density (OD) indices relative to the culture results in bronchoscopic samples obtained from neutropenic and non-neutropenic patients. Galactomannan OD indices from 1427 samples from 2005 to 2012, which were sent from 839 patients and were composed of bronchial lavage (BL = 727) and bronchoalveolar lavage fluids (BAL = 700), were retrospectively analysed. The recovery rates of Aspergillus species from these specimens were 9.4% from the combined patient group and 13.3% from the neutropenic group. Aspergillus fumigatus complex was the most frequently isolated species. The mean and median OD indices of the positive and negative culture samples are approximately 5 and 1, respectively, and 91% of all culture-positive samples have ≥1 OD index value. The receiver-operating characteristics curve analysis demonstrated that the feasibility of the Aspergillus galactomannan assay and Aspergillus galactomannan test has superior accuracy in BAL compared to BL fluids, and the test is not affected by the immune status of the patient. We suggest that the Aspergillus galactomannan test, which uses bronchoscopic material, leads to an earlier diagnosis and if the OD index is found ≥1, fungal growth can be expected. ",2014,24010950,no
Toxin-producing fungi on feed grains and application of yeasts for their detoxification.,"The research deals with the contamination of feeding crops with fungi, producing mycotoxins and use of selected yeasts for detoxification. The thin-layer chromatography and ELISA methods were applied for the analysis of fungal secondary metabolites. The results showed a high rate of the grain contamination with fungi, mainly from genera Penicillium, Fusarium, Aspergillus and Alternaria. Some of the fungal strains produced 6-9 toxic compounds. The novelty of the study was the application of the yeast strains in detoxification of aflatoxins, zearalenon and deoxynivalenol in feed.",2013,23971211,no
Pulmonary aspergillosis and aflatoxins in chronic lung diseases.,"Fungal infections of lung have become increasingly common during the last few decades. Aspergillosis and the role of aflatoxins in various chronic lung diseases have not been extensively studied. Bronchoalveolar lavage (BAL) samples and sera from 40 patients of chronic lung diseases were analyzed for galactomannan antigen (GM) and aflatoxin by enzyme-linked immunosorbent assay. Direct microscopy and culture of BAL samples were also done to detect the Aspergillus species. Results revealed that 15 (37.5 %) of the 40 patients had growth of Aspergillus on BAL culture. Out of these culture-positive cases, 13 (86.7 %) patients were positive for galactomannan antigen also. About 62.5 % cases did not show growth of Aspergillus in BAL culture. However, galactomannan antigen could be detected in 20 % of these patients. Overall, 20 % patients were diagnosed as proven invasive fungal disease (IFD), 32.5 % were of probable IFD, 17.5 % of possible IFD. Aspergillus growth was observed in 100 % of proven and 53.8 % of probable IFD cases. Galactomannan antigen was found in 100 % cases of proven and 76.9 % of probable IFD. Ten (25 %) patients were found to be positive for aflatoxins. It was detected in 6 (40 %) of culture-positive cases. About 62.5 % of the cases with proven IFD and 46.1 % of probable IFD had aflatoxin in their samples. Aflatoxin positivity was found to be more in patients with proven IFD than in probable IFD, and higher level of aflatoxins was detected in cases with proven IFD. Significant difference was observed in aflatoxin positivity among food grain workers when compared to other occupations. ",2014,23948964,no
Diagnostic strategies for invasive fungal infections in patients with hematologic malignancies and hematopoietic stem cell transplant recipients.,Invasive fungal infections (IFIs) frequently occur and are associated with high morbidity and mortality in patients with hematologic malignancies (HMs) and hematopoietic stem cell transplant (HSCT) recipients. Early diagnosis of IFI in these patients facilitates prompt institution of therapy and leads to improved clinical outcomes. This article reviews widely used methodologies for diagnosing IFIs in patients with HM and HSCT recipients. Advantages and limitations of radiologic studies microbiologic and histopathologic techniques,2014,23946173,no
Reproducibility of positive results for the detection of serum galactomannan by Platelia™ aspergillus EIA.,"Galactomannan (GM) was recently included in consensus guidelines as an indirect mycological criterion for the diagnosis of invasive aspergillosis. Currently, there is an enzyme immunoassay available to detect GM in biological samples, the Platelia™ Aspergillus EIA. In this study, the reproducibility of positive results obtained using this assay was evaluated using serum samples from neutropenic patients. A trend toward lower values was observed, and 55 %(27/49) of positive results were negative after retesting. A low reproducibility of positive results for the detection of GM in serum was observed. ",2014,23943403,no
Depletion of naive T cells using clinical grade magnetic CD45RA beads: a new approach for GVHD prophylaxis.,"Depletion of naive T cells from donor leukapheresis products (LPs) aims at the reduction of alloreactivity, while preserving memory T-cell reactivity (for example, to pathogens). This study established the immunomagnetic depletion procedure under clean room conditions using CD45RA beads and analyzed LPs of six donors for cell composition and functional immune responses. CD45RA depletion resulted in 3.4-4.7 log (median 4.4) reduction of CD45RA(+) T cells, thereby eliminating naive and late effector T cells. B cells were also completely removed, whereas significant proportions of NK cells, monocytes and granulocytes persisted. CD45RA-depleted LPs contained effector and central memory CD4(+) and CD8(+) T cells that showed sustained IFN-γ secretion to CMV, EBV, Aspergillus and Candida Ags. Alloreactivity was measured in MLRs between donors with complete HLA-mismatch. Alloreactive CD8(+) T cells were strongly reduced (median >1-log) upon CD45RA depletion, whereas alloreactive CD4(+) T cells persisted in significant numbers. In conclusion, clinical grade depletion of CD45RA(+) naive T cells from donor LPs is feasible and highly efficient. The depleted products show sustained CD4(+) and CD8(+) T-cell reactivity to pathogens and effectively reduced CD8-mediated alloreactivity. Prophylactic and preemptive infusions after allogeneic SCT may improve T-cell reconstitution and pathogen-specific immunosurveillance, along with lower risk of inducing GVHD. ",2014,23933765,no
Invasive fungal infections: biomarkers and molecular approaches to diagnosis.,"The biomarkers galactomannan and 1,3-β-d-glucan have been well studied over the past years and are gaining a role in the diagnosis of invasive fungal infections. Although not as well studied until recently, molecular methods for the diagnosis of invasive fungal infection are also being evaluated. Outcomes data for molecular testing are expanding, but have not yet provided enough evidence for inclusion of molecular diagnostics in formal clinical guidelines. Lack of standardization and validation of the various molecular assays and platforms has hindered their widespread acceptance in the evaluation of invasive fungal infections, although the future is promising. ",2014,23931836,no
Dectin-2 is predominately macrophage restricted and exhibits conspicuous expression during Aspergillus fumigatus invasion in human lung.,"We investigated the features of Dectin-2 expression both at transcriptional and translational levels during Aspergillus fumigatus infection in human lung. Simultaneously, the expression of CD206 was assayed as an activated marker of alveolar macrophages. The characteristic of Dectin-2 expression were then confirmed in Monocyte-derived macrophages (MDM) after A. fumigatus stimulation by Flow Cytometry. We found that the expression of Dectin-2 was low in normal lung, while it revealed a markedly up-regulation during A. fumigatus invasion. Dectin-2 expression was predominantly restricted to CD206 positive cells. There was salient positive correlation between Dectin-2 expression and CD206. We conclude that Dectin-2 expression is largely restricted to alveolar macrophages in human lung. The conspicuous expression of Dectin-2 during A. fumigatus invasion suggests its notable contribution to antifungal defenses in pulmonary aspergillosis. ",2014,23928558,no
Posaconazole treatment in Korea: single-center experience over 5 years.,"Posaconazole is a second-generation triazole with a broad spectrum. However, there is a lack of data to support a significant role for posaconazole in the treatment of invasive fungal infection (IFI), especially in Korea. Until recently, posaconazole was available only through the Korean Orphan Drug Center. This study was designed to review the use of posaconazole at a single-center in Korea.Data from patients who received posaconazole treatment at Catholic Blood and Marrow Transplantation Center were retrospectively reviewed between January 2007 and September 2012.A total of 11 cases (3 males and 8 females, median age 52 years) received posaconazole. Five patients were given the drug for mucormycosis, two for invasive aspergillosis, and four for unspecified IFI for which galactomannan (GM) assays were negative. The treatment duration ranged from 4-250 days. Three patients received posaconazole for management refractory IFI, two for intolerance of previous antifungal therapy, and six for long-term maintenance treatment. The overall successful response rate to posaconazole was 55% (six of eleven patients). Five of eleven patients died during the study period. However, only one death was attributed to the progression of IFI. None of the patients discontinued posaconazole therapy due to adverse events.Posaconazole is an attractive oral antifungal agent for salvage treatment of IFI, particularly upon diagnosis of mucormycosis or in cases in which mucormycosis cannot be ruled out due to a negative GM.",2014,23918575,no
C-type lectin receptors Dectin-3 and Dectin-2 form a heterodimeric pattern-recognition receptor for host defense against fungal infection.,"C-type lectin receptors (CLRs) play critical roles as pattern-recognition receptors (PRRs) for sensing Candida albicans infection, which can be life-threatening for immunocompromised individuals. Here we have shown that Dectin-3 (also called CLECSF8, MCL, or Clec4d), a previously uncharacterized CLR, recognized α-mannans on the surfaces of C. albicans hyphae and induced NF-κB activation. Mice with either blockade or genetically deleted Dectin-3 were highly susceptible to C. albicans infection. Dectin-3 constantly formed heterodimers with Dectin-2, a well-characterized CLR, for recognizing C. albicans hyphae. Compared to their respective homodimers, Dectin-3 and Dectin-2 heterodimers bound α-mannans more effectively, leading to potent inflammatory responses against fungal infections. Together, our study demonstrates that Dectin-3 forms a heterodimeric PRR with Dectin-2 for sensing fungal infection and suggests that different CLRs may form different hetero- and homodimers, which provide different sensitivity and diversity for host cells to detect various microbial infections. ",2013,23911656,no
TRPC3 regulates release of brain-derived neurotrophic factor from human airway smooth muscle.,"Exogenous brain-derived neurotrophic factor (BDNF) enhances Ca(2+) signaling and cell proliferation in human airway smooth muscle (ASM), especially with inflammation. Human ASM also expresses BDNF, raising the potential for autocrine/paracrine effects. The mechanisms by which ASM BDNF secretion occurs are not known. Transient receptor potential channels (TRPCs) regulate a variety of intracellular processes including store-operated Ca(2+) entry (SOCE including in ASM) and secretion of factors such as cytokines. In human ASM, we tested the hypothesis that TRPC3 regulates BDNF secretion. At baseline, intracellular BDNF was present, and BDNF secretion was detectable by enzyme linked immunosorbent assay (ELISA) of cell supernatants or by real-time fluorescence imaging of cells transfected with GFP-BDNF vector. Exposure to the pro-inflammatory cytokine tumor necrosis factor-alpha (TNFα) (20ng/ml, 48h) or a mixture of allergens (ovalbumin, house dust mite, Alternaria, and Aspergillus extracts) significantly enhanced BDNF secretion and increased TRPC3 expression. TRPC3 knockdown (siRNA or inhibitor Pyr3",2014,23899746,no
Inhibitory effect of citrinin on lipopolisaccharide-induced nitric oxide production by mouse macrophage cells.,"The present study evaluated the immunotoxicity of citrinin (CIT), a mycotoxin produced by several Aspergillus, Penicillium, and Monascus species. Because nitric oxide (NO), a pro-inflammatory mediator, plays an important role in the protection from pathogens, we addressed the effect of CIT on NO production by a mouse macrophage-like cell line RAW264 activated with lipopolysaccharide (LPS). LPS-induced NO release from RAW264 cells was inhibited by CIT. Moreover, the transcription and expression of inducible NO synthase (iNOS) by LPS was suppressed by CIT. These results show that CIT suppressed the LPS-induced NO production and iNOS expression, which contribute to the host protection against invading pathogens. This suggests that CIT on LPS-induced NO release may exert adverse effects in macrophages, indicating immunotoxic effects of this toxin. . ",2014,23897301,no
Activation of NF-κB and respiratory burst following Aspergillus fumigatus stimulation of macrophages.,"Dectin-2, a C-type lectin receptor (CLR), plays an essential role in mediating nuclear factor-kappa B (NF-κB) activation and anti-fungal immunity in response to Candida albicans infection. However, the molecular mechanisms and function of Dectin-2 signaling in response to infection by the pathogenic fungus Aspergillus fumigatus have not been characterized. In order to characterize Dectin-2 signaling in response to A. fumigatus infection, activation of Dectin-2 was analyzed at both transcriptional and translational levels. Spleen tyrosine kinase (Syk) phosphorylation, NF-κB activation and cytokine production downstream of Dectin-2 activation were also investigated. In addition, Dectin-2-Syk function and its ability to mediate reactive oxygen species (ROS) production and elimination of A. fumigatus conidia was examined. We demonstrate that Syk is involved in Dectin-2-induced IκBα (inhibitor of kappa B protein) phosphorylation and NF-κB activation following A. fumigatus stimulation in a time dependent manner. Silencing of Dectin-2 and Syk as well as Syk inhibition blocks NF-κB activation and cytokine secretion. Furthermore, the killing of A. fumigatus conidia and ROS production are significantly affected by Dectin-2 or Syk silencing as well as Syk inhibition. Swelling and germination of the fungus followed by hyphae formation and not the resting and heat-inactivated form of A. fumigatus mediate the activation of Dectin-2 signaling. In conclusion, Syk plays an essential role in IκBα kinase phosphorylation, NF-κB activation, and ROS production mediated by Dectin-2 activation in response to A. fumigatus infection. ",2014,23886693,no
Production of the Phanerochaete flavido-alba laccase in Aspergillus niger for synthetic dyes decolorization and biotransformation.,"We investigated the expression of Phanerochaete flavido-alba laccase gene in Aspergillus niger and the physical and biochemical properties of the recombinant enzyme (rLac-LPFA) in order to test it for synthetic dye biotransformation. A. niger was able to produce high levels of active recombinant enzyme (30 mgL(-1)), whose identity was further confirmed by immunodetection using Western blot analysis and N-terminal sequencing. Interestingly, rLac-LPFA exhibited an improved stability at pH (2-9) and organic solvents tested. Furthermore, the percentage of decoloration and biotransformation of synthetic textile dyes, Remazol Brilliant Blue R (RBBR) and Acid Red 299 (NY1), was higher than for the native enzyme. Its high production, simple purification, high activity, stability and ability to transform textile dyes make rLac-LPFA a good candidate for industrial applications. ",2014,23884844,no
