Document Title,Year,Abstract,PDF Link,label
SLOT: A Fast and Accurate Technique to Estimate Available Bandwidth in Wireless IEEE 802.11,2008,"Accuracy of available estimated bandwidth and convergence delay algorithm are researchers�?challenges in wireless network measurements. Currently a variety of tools are developed to estimate the end-to-end network available bandwidth such as TOPP (Train Of Packet Pair), SLoPS (Self Loading Periodic Stream), Spurce and Variable Packet Size etc. These tools are important to improve the QoS (Quality of Service) of demanding applications. However the performances of the previous tools are very different in term of probing time and estimation accuracy. In this paper we present a fast and accurate bandwidth estimation technique named SLOT. By using NS2 the performance of SLOT technique will be evaluated and the obtain results are analysed by MATLAB software and compared with the TOPP and the SLoPS ones. We show that SLOT has shorter probing time than the TOPP one, and it provides more accurate available estimated bandwidth than the SLoPS one.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4488904,no
A Coverage-Based Handover Algorithm for High-speed Data Service,2008,"4G supports various types of services. The coverage of high-speed data service is smaller than that of low-speed data service, which make the high-speed data service users occur dropping before reaching the handover area. In order to solve the problem, this paper proposes A Coverage-based Handover Algorithm for High-speed Data Service (CBH), which extends the coverage of high-speed data service by reducing source rate and makes these users acquire "";transient coverage"";. Meanwhile, FSES (Faint Sub-carrier Elimination Strategy) is introduced, which utilizes the "";transient handover QoS""; and reduces the handover effect to target cell for high-speed data service users. The simulation results shows that the new algorithm can improve the whole system performance, reduce the handover dropping probability and new call blocking probability, enhance the resource utilization ratio.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4489556,no
CiCUTS: Combining System Execution Modeling Tools with Continuous Integration Environments,2008,"System execution modeling (SEM) tools provide an effective means to evaluate the quality of service (QoS) of enterprise distributed real-time and embedded (DRE) systems. SEM tools facilitate testing and resolving performance issues throughout the entire development life-cycle, rather than waiting until final system integration. SEM tools have not historically focused on effective testing. New techniques are therefore needed to help bridge the gap between the early integration capabilities of SEM tools and testing so developers can focus on resolving strategic integration and performance issues, as opposed to wrestling with tedious and error-prone low-level testing concerns. This paper provides two contributions to research on using SEM tools to address enterprise DRE system integration challenges. First, we evaluate several approaches for combining continuous integration environments with SEM tools and describe CiCUTS, which combines the CUTS SEM tool with the CruiseControl.NET continuous integration environment. Second, we present a case study that shows how CiCUTS helps reduce the time and effort required to manage and execute integration tests that evaluate QoS metrics for a representative DRE system from the domain of shipboard computing. The results of our case study show that CiCUTS helps developers and testers ensure the performance of an example enterprise DRE system is within its QoS specifications throughout development, instead of waiting until system integration time to evaluate QoS.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4492388,no
Estimation of Defects Based on Defect Decay Model: ED^{3}M,2008,"An accurate prediction of the number of defects in a software product during system testing contributes not only to the management of the system testing process but also to the estimation of the product's required maintenance. Here, a new approach called ED<sup>3</sup>M is presented that computes an estimate of the total number of defects in an ongoing testing process. ED<sup>3</sup>M is based on estimation theory. Unlike many existing approaches the technique presented here does not depend on historical data from previous projects or any assumptions about the requirements and/or testers' productivity. It is a completely automated approach that relies only on the data collected during an ongoing testing process. This is a key advantage of the ED<sup>3</sup>M approach, as it makes it widely applicable in different testing environments. Here, the ED<sup>3</sup>M approach has been evaluated using five data sets from large industrial projects and two data sets from the literature. In addition, a performance analysis has been conducted using simulated data sets to explore its behavior using different models for the input data. The results are very promising; they indicate the ED<sup>3</sup>M approach provides accurate estimates with as fast or better convergence time in comparison to well-known alternative techniques, while only using defect data as the input.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4492790,no
Reengineering Idiomatic Exception Handling in Legacy C Code,2008,"Some legacy programming languages, e.g., C, do not provide adequate support for exception handling. As a result, users of these legacy programming languages often implement exception handling by applying an idiom. An idiomatic style of implementation has a number of drawbacks: applying idioms can be fault prone and requires significant effort. Modern programming languages provide support for structured exception handling (SEH) that makes idioms largely obsolete. Additionally, aspect-oriented programming (AOP) is believed to further reduce the effort of implementing exception handling. This paper investigates the gains that can be achieved by reengineering the idiomatic exception handling of a legacy C component to these modern techniques. First, we will reengineer a C component such that its exception handling idioms are almost completely replaced by SEH constructs. Second, we will show that the use of AOP for exception handling can be beneficial, even though the benefits are limited by inconsistencies in the legacy implementation.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4493308,no
Visual Detection of Design Anomalies,2008,"Design anomalies, introduced during software evolution, are frequent causes of low maintainability and low flexibility to future changes. Because of the required knowledge, an important subset of design anomalies is difficult to detect automatically, and therefore, the code of anomaly candidates must be inspected manually to validate them. However, this task is time- and resource-consuming. We propose a visualization-based approach to detect design anomalies for cases where the detection effort already includes the validation of candidates. We introduce a general detection strategy that we apply to three types of design anomaly. These strategies are illustrated on concrete examples. Finally we evaluate our approach through a case study. It shows that performance variability against manual detection is reduced and that our semi-automatic detection has good recall for some anomaly types.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4493326,no
Modularity-Oriented Refactoring,2008,"Refactoring, in spite of widely acknowledged as one of the best practices of object-oriented design and programming, still lacks quantitative grounds and efficient tools for tasks such as detecting smells, choosing the most appropriate refactoring or validating the goodness of changes. This is a proposal for a method, supported by a tool, for cross-paradigm refactoring (e.g. from OOP to AOP), based on paradigm and formalism-independent modularity assessment.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4493330,no
Assessing quality of web based systems,2008,"This paper proposes an assessment model for Web-based systems in terms of non-functional properties of the system. The proposed model consists of two stages: (i) deriving quality metrics using goal-question-metric (GQM) approach; and (ii) evaluating the metrics to rank a Web based system using multi-element component comparison analysis technique. The model ultimately produces a numeric rating indicating the relative quality of a particular Web system in terms of selected quality attributes. We decompose the quality objectives of the web system into sub goals, and develop questions in order to derive metrics. The metrics are then assessed against the defined requirements using an assessment scheme.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4493613,no
An evaluation method for aspectual modeling of distributed software architectures,2008,"Dealing with crosscutting requirements in software development usually makes the process more complex. Modeling and analyzing of these requirements in the software architecture facilitate detecting architectural risks early. Distributed systems have more complexity and so these facilities are much useful in development of such systems. Aspect oriented Architectural Description Languages (ADD) have emerged to represent solutions for discussed problems; nevertheless, imposing radical changes to existing architectural modeling methods is not easily acceptable by architects. Software architecture analysis methods, furthermore, intend to verify that the quality requirements have been addressed properly. In this paper, we enhance ArchC# through utilization of aspect features with an especial focus on Non-Functional Requirements (NFR). ArchC# is mainly focused on describing architecture of distributed systems; in addition, it unifies software architecture with an object- oriented implementation to make executable architectures. Moreover, in this paper, a comparative analysis method is presented for evaluation of the result. All of these materials are illustrated along with a case study.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4493639,no
Derivation of Fault Tolerance Measures of Self-Stabilizing Algorithms by Simulation,2008,"Fault tolerance measures can be used to distinguish between different self-stabilizing solutions to the same problem. However, derivation of these measures via analysis suffers from limitations with respect to scalability of and applicability to a wide class of self-stabilizing distributed algorithms. We describe a simulation framework to derive fault tolerance measures for self-stabilizing algorithms which can deal with the complete class of self-stabilizing algorithms. We show the advantages of the simulation framework in contrast to the analytical approach not only by means of accuracy of results, range of applicable scenarios and performance, but also for investigation of the influence of schedulers on a meta level and the possibility to simulate large scale systems featuring dynamic fault probabilities.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4494419,no
An Innovative Transient-Based Protection Scheme for MV Distribution Networks with Distributed Generation,2008,This paper presents a new transient based scheme to detect single phase to ground faults (or grounded faults in general) in distribution systems with high penetration of distributed generation. This algorithm combines the fault direction based approach and the distance estimation based approach in order to determine the faulted section. The wavelet coefficients of the transient fault currents measured at the interconnection points of the network are used to determine the direction of fault currents and to estimate the distance of the fault. The simulations have been carried out by using DigSilent software package and the results have been processed in MATLAB using the Wavelet Toolbox.,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4496999,no
Quality-Aware Retrieval of Data Objects from Autonomous Sources for Web-Based Repositories,2008,"The goal of this paper is to develop a framework for designing good data repositories for Web applications. The central theme of our approach is to employ statistical methods to predict quality metrics. These prediction quantities can be used to answer important questions such as: How soon should the local repository be synchronized to have a quality of at least 90% precision with certain confidence level? Suppose the local repository was synchronized three days ago, how many objects could have been deleted at the remote source since then?",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4497600,no
The Infamous Ratio Measure,2008,Examines the use of ratios and other derived metrics in software measurement.,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4497752,no
Surveillance and Quality Evaluation System for Real-Time Audio Signal Streaming,2008,"This paper deals with the design of an algorithm and application for an automatic system of real-time audio signal quality surveillance on personal computers. This system works without any knowledge of how the audio signal is processed. The audio signal quality and possible signal failures are monitored by being compared with the original signal in the time-frequency domain. The system supports several audio formats from mono to 5.1 and downmix for comparison between different audio formats. For high performance, SIMD technologies are used. The whole system consists of several local surveillance applications (clients) and a server application with SNMP client that monitors the local application states using the TCP/IP network.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4498220,no
Modeling Resource Sharing Dynamics of VoIP Users over a WLAN Using a Game-Theoretic Approach,2008,"We consider a scenario in which users share an access point and are mainly interested in VoIP applications. Each user is allowed to adapt to varying network conditions by choosing the transmission rate at which VoIP traffic is received. We denote this adaptation process by end-user congestion control, our object of study. The two questions that we ask are: (1) what are the performance consequences of letting the users to freely choose their rates? and (2) how to explain the adaptation process of the users? We set a controlled lab experiment having students as subject to answer the first question, and we extend an evolutionary game-theoretic model to address the second. Our partial answers are the following: (1) free users with local information can reach an equilibrium which is close to optimal from the system perspective. However, the equilibrium can be unfair; (2) the adaptation of the users can be explained using a game theoretic model. We propose a methodology to parameterize the latter, which involves active network measurements, simulations and an artificial neural network to estimate the QoS perceived by the users in each of the states of the model.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4509739,no
Speech privacy for modern mobile communication systems,2008,"Speech privacy techniques are used to scramble clear speech into an unintelligible signal in order to avoid eavesdropping. Some analog speech-privacy equipments (scramblers) have been replaced by digital encryption devices (comsec), which have higher degree of security but require complex implementations and large bandwidth for transmission. However, if speech privacy is wanted in a mobile phone using a modern commercial codec, such as the AMR (adaptive multirate) codec, digital encryption may not be an option due to the fact that it requires internal hardware and software modifications. If encryption is applied before the codec, poor voice quality may result, for the vocoder would handle digitally encrypted signal resembling noise. On the other hand, analog scramblers may be placed before the voice encoder without causing much penalty to its performance. Analog scramblers are intended in applications where the degree of security is not too critical and hardware modifications are prohibitive due to its high cost. In this article we investigate the use of different techniques of voice scramblers applied to mobile communications vocoders. We present our results in terms of LPC and cepstral distances, and PESQ values.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4517975,no
Quality Attributes - Architecting Systems to Meet Customer Expectations,2008,"This paper addresses the use of quality attributes as a mechanism for making objective decisions about architectural tradeoffs and for providing reasonably accurate predictions about how well candidate architectures will meet customer expectations. Typical quality attributes important to many current systems of interest include: performance, dependability, security, and safety. This paper begins with an examination of how quality attributes and architectures are related, including some the seminal work in the area, and a survey of the current standards addressing product quality and evaluation. The implications for both the customer and the system developer of employing a quality- attribute-based approach to architecture definition and trade-off are then briefly explored. The paper also touches on the relationship of an architectural quality-attribute-based approach to engineering process and process maturity. Lastly the special concerns of architecting for system assurance are addressed.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4518988,no
System of Systems Issues for the 2008 U. S. National Healthcare Information Network Remote Patient Monitoring Requirements,2008,"This paper describes a number of new system of systems engineering (SoSE) issues that must be addressed in order to design and deploy a safe, secure, and private informatics infrastructure for remote patient monitoring systems that are interoperable with the emerging U.S. National Healthcare Information Network (NHIN). Motivations for NHIN's ambitious remote patient monitoring goals - such as reducing the cost of care and improving medical care quality for chronically ill patients - are introduced, and the technological requirements and challenges that arise are described. This paper demonstrates the use of SoSE modeling, simulation, verification and validation techniques similar to the emerging draft of INCOSE's SoSE Engineering Guide to improve the success of such projects. The tools used include event driven modeling and software simulation tools to assist in the design and evaluation of predictive software models that simulate key safety and performance aspects of proposed remote patient monitoring systems.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4519018,no
The Role of System Behavior in Diagnostic Performance,2008,"The diagnostic performance of system built-in-test has historically suffered from deficiencies such as high false alarm rates, high undetected failure rates and high fault isolation ambiguity. In general these deficiencies impose a burden on maintenance resources and can affect mission readiness and effectiveness. Part of the problem has to do with the blurred distinction between physical faults and the test failures used to detect those faults. A greater part of the problem has to do with the test limits used to establish pass/fail criteria. If the limits do not reflect system behavior that is to be expected, given its current no fault (or fault) status, then a test fail result can often be a false alarm, and a test pass result can often constitute an undetected fault. A model based approach to prediction of system behavior can do much to alleviate the problem.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4519031,no
A Methodology for Performance Modeling of Distributed Event-Based Systems,2008,"Distributed event-based systems (DEBS) are gaining increasing attention in new application areas such as transport information monitoring, event-driven supply-chain management and ubiquitous sensor-rich environments. However, as DEBS increasingly enter the enterprise and commercial domains, performance and quality of service issues are becoming a major concern. While numerous approaches to performance modeling and evaluation of conventional request/reply-based distributed systems are available in the literature, no general approach exists for DEBS. This paper is the first to provide a comprehensive methodology for workload characterization and performance modeling of DEBS. A workload model of a generic DEBS is developed and operational analysis techniques are used to characterize the system traffic and derive an approximation for the mean event delivery latency. Following this, a modeling technique is presented that can be used for accurate performance prediction. The paper is concluded with a case study of a real life system demonstrating the effectiveness and practicality of the proposed approach.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4519556,no
Automatic simulation of transmission line backflashover rate base on ATP,2008,"The design of such a novel software application that can be used to calculate the backflashover rate of transmission line is presented. The software application was developed by combining ATP with VC++. The software structure and the input/output interface are provided, as well as the implementation details. In the calculation, compares the insulators' volt-time curves to the overvoltage to judge the insulators' behavior, considers the system voltage and the induced voltage's influence on backflash lightning withstanding level. A total line backflashover rate calculation example shows that it's convenient for estimating the backflashover rate of a total line and studying the effect of lightning performance improvement methods such as reducing grounding resistance with the software application. This software application's design way is suitable for other transient calculation which using ATP.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4523591,no
Three-phase four-wire DSTATCOM based on a three-dimensional PWM algorithm,2008,"A modified voltage space vector pulse-width modulated (PWM) algorithm for three-phase four-wire distribution static compensator (DSTATCOM) is described in this paper. The mathematical model of shunt-connected three-leg inverter in three-phase four-wire system is studied in a-b-c frame. The p-q-o theory based on the instantaneous reactive power theory is applied to detect the reference current. A fast and generalized applicable three-dimensional space vector modulation (3DSVM) is proposed for controlling a three-leg inverter. The reference voltage vector is decomposed into an offset vector and a two-level vector. So identification of neighboring vectors and dwell times calculation are all settled by a general two-level 3DSVM control. This algorithm can also be applied to multilevel inverter. The zero-sequence component of each vector is considered in order to implement the neutral current compensation. The simulation is performed by EMTDC/PSCAD software. The neutral current, harmonics current, unbalance current and reactive current can be compensated. The result shows that the validity of the proposed 3DSVM can be applied to compensate power quality problems in three-phase four-wire system.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4523748,no
Interactive Software and Hardware Faults Diagnosis Based on Negative Selection Algorithm,2008,"Both hardware and software of computer systems are subject to faults. However, traditional methods, ignoring the relationship between software fault and hardware fault, are ineffective to diagnose complex faults between software and hardware. On the basis of defining the interactive effect to describe the process of the interactive software and hardware fault, this paper present a new matrix-oriented negative selection algorithm to detect faults. Furthermore, the row vector distance and matrix distance are constructed to measure elements between the self set and detector set. The experiment on a temperature control system indicates that the proposed algorithm has good fault detection ability, and the method is applicable to diagnose interactive software and hardware faults with small samples.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4525255,no
Intelligibility and Space-based Voice with Relaxed Delay Constraints,2008,"In this paper, we leverage the long range end-to-end scenarios envisioned for lunar and beyond voice conversations by allowing non-traditional additional processing delay for quasi-real-time voice conversations. The concept of improving the quality of end-to-end voice conversations for long delay environments is considered by utilizing Luby transforms on the conjugate-structure algebraic-code-excited linear-prediction (CS-ACELP) codec. In addition, this paper also examines the use of automated speech recognition software as a means of generating a quantifiable metric for speech intelligibility in the spirit of the diagnostic rhyme test (DRT).",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526329,no
Verification of a Byzantine-Fault-Tolerant Self-Stabilizing Protocol for Clock Synchronization,2008,"This paper presents the mechanical verification of a simplified model of a rapid byzantine-fault-tolerant self-stabilizing protocol for distributed clock synchronization systems. This protocol does not rely on any assumptions about the initial state of the system except for the presence of sufficient good nodes, thus making the weakest possible assumptions and producing the strongest results. This protocol tolerates bursts of transient failures, and deterministically converges within a time bound that is a linear function of the self-stabilization period. A simplified model of the protocol is verified using the symbolic model verifier (SMV). The system under study consists of 4 nodes, where at most one of the nodes is assumed to be Byzantine faulty. The model checking effort is focused on verifying correctness of the simplified model of the protocol in the presence of a permanent byzantine fault as well as confirmation of claims of determinism and linear convergence with respect to the self-stabilization period. Although model checking results of the simplified model of the protocol confirm the theoretical predictions, these results do not necessarily confirm that the protocol solves the general case of this problem. Modeling challenges of the protocol and the system are addressed. A number of abstractions are utilized in order to reduce the state space.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526337,no
Automated Generation and Assessment of Autonomous Systems Test Cases,2008,"Verification and validation testing of autonomous spacecraft routinely culminates in the exploration of anomalous or faulted mission-like scenarios. Prioritizing which scenarios to develop usually comes down to focusing on the most vulnerable areas and ensuring the best return on investment of test time. Rules-of-thumb strategies often come into play, such as injecting applicable anomalies prior to, during, and after system state changes; or, creating cases that ensure good safety-net algorithm coverage. Although experience and judgment in test selection can lead to high levels of confidence about the majority of a system's autonomy, it's likely that important test cases are overlooked. One method to fill in potential test coverage gaps is to automatically generate and execute test cases using algorithms that ensure desirable properties about the coverage. For example, generate cases for all possible fault monitors, and across all state change boundaries. Of course, the scope of coverage is determined by the test environment capabilities, where a faster-than-real-time, high-fidelity, software-only simulation would allow the broadest coverage. Even real-time systems that can be replicated and run in parallel, and that have reliable set-up and operations features provide an excellent resource for automated testing. Making detailed predictions for the outcome of such tests can be difficult, and when algorithmic means are employed to produce hundreds or even thousands of cases, generating predicts individually is impractical, and generating predicts with tools requires executable models of the design and environment that themselves require a complete test program. Therefore, evaluating the results of large number of mission scenario tests poses special challenges. A good approach to address this problem is to automatically score the results based on a range of metrics. Although the specific means of scoring depends highly on the application, the use of formal scoring - metrics has high value in identifying and prioritizing anomalies, and in presenting an overall picture of the state of the test program. In this paper we present a case study based on automatic generation and assessment of faulted test runs for the Dawn mission, and discuss its role in optimizing the allocation of resources for completing the test program.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526484,no
Lights-Out Scenario Testing for the New Horizons Autonomous Operations Subsystem,2008,"New horizons is a NASA sponsored mission to explore Pluto and its largest moon Charon. The new horizons spacecraft, designed, built and operated by the Johns Hopkins University Applied Physics Laboratory (APL), was successfully launched in January 2006 and will perform its primary mission at Pluto in the summer of 2015. To support this mission, the spacecraft is equipped with onboard software that provides a rule based expert system for performing autonomous fault detection and recovery. This system has been updated nine times since launch and is continuously being tested to ascertain its performance in various spacecraft states. The test approach for the autonomous fault protection subsystem is to perform a combination of unit-level tests and full system scenario tests. For the scenario tests, we have developed a ""lights out"" test method and have been using it to reduce the time required to run each fault scenario test. This approach reduces the time it takes to develop a test, reduces the number of man hours required to run the test, and decouples the initial spacecraft state from the mechanisms used to inject faults. Decoupling the initial state from the fault injection allows for easy expansion in the number of initial state/fault combinations that can be tested. This significantly improves the test coverage of the scenario test suite. Using this approach, we will be able to run more tests and increase our working knowledge of the performance of the fault protection subsystem. This paper describes the evolution, benefits and cautions of the ""lights out"" scenario test process.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526485,no
An Introspection Framework for Fault Tolerance in Support of Autonomous Space Systems,2008,"This paper describes a software system designed for the support of future autonomous space missions by providing an infrastructure for runtime monitoring, analysis, and feedback. The objective of this research is to make mission software executing on parallel on-board architectures fault tolerant through an introspection mechanism that provides automatic recovery minimizing the loss of function and data. Such architectures are essential for future JPL missions because of their increased need for autonomy along with enhanced on-board computational capabilities while in deep space or time-critical situations. The standard framework for introspection described in this paper integrates well with existing flight software architectures and can serve as an enabling technology for the support of such systems. Furthermore, it separates the introspection capability from applications and the underlying system, providing a generic framework that can be also applied to a broad range of problems beyond fault tolerance, such as behavior analysis, intrusion detection, performance tuning, and power management.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526592,no
False Alarm Mitigation of Vibration Diagnostic Systems,2008,"False alarms in legacy aircraft diagnostic systems have negatively impacted fleet maintenance costs and mission readiness. As the industry moves towards more advanced prognostic and health management (PHM) solutions, a reduction in false alarms is needed to reduce the cost and readiness burdens that have plagued legacy systems. It is therefore important to understand why these false alarms occur and how they are generated so appropriate mitigation solutions can be included in next-generation diagnostic systems. This paper examines four major sources of false alarms in the development of vibration diagnostics (faulty sensor performance, transient system operating conditions, improper health indicator selection, and inadequate fault detection logic) and details a solution designed to mitigate their impact. An overview of the developed false alarm statistics toolbox for PHM (FAST PHMtrade) software is also provided to illustrate how the software guides design engineers through the processes of verifying data, processing for diagnostic features, analyzing feature performances, developing ""virtual"" features through fusion, and deriving statistically optimized feature thresholds. The developed approach will improve the overall performance, robustness, and reliability of vibration diagnostic and prognostics systems.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526620,no
Software Maintenance Implications on Cost and Schedule,2008,"Software Maintenance Implications on Cost and Schedule. The dictionary defines maintenance as, ""The work of keeping something in proper order."" However, this definition does not necessarily fit for software. Software maintenance is different from hardware maintenance because software doesn't physically wear out, but often gets less useful with age. Software is typically delivered with undiscovered flaws. Therefore, software maintenance is: ""The process of modifying existing operational software while leaving its primary functions intact."" Maintenance typically exceeds fifty percent of the systems' life cycle cost. Additionally, software is highly dependent on defined maintenance rigor and operational life expectancy. Software maintenance generally includes sustaining engineering and new function development; corrective changes (fixing bugs); adapting to new requirements (OS upgrade, new processor); perfecting or improving existing functions (improve speed, performance); enhancing application with (minor) new functions (new feature.) Since software maintenance costs can be somewhat set by definition, the implications on cost and schedule must be evaluated. Development decisions, processes, and tools can impact maintenance costs. But, generally even a perfectly delivered system quickly needs upgrades. While software maintenance can be treated as a level of effort activity, there are consequences on quality, functionality, reliability, cost and schedule that can be mitigated through the use of parametric estimation techniques.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526688,no
A Methodology for Performance Modeling and Simulation Validation of Parallel 3-D Finite Element Mesh Refinement With Tetrahedra,2008,"The design and implementation of parallel finite element methods (FEMs) is a complex and error-prone task that can benefit significantly by simulating models of them first. However, such simulations are useful only if they accurately predict the performance of the parallel system being modeled. The purpose of this contribution is to present a new, practical methodology for validation of a promising modeling and simulation approach for parallel 3-D FEMs. To meet this goal, a parallel 3-D unstructured mesh refinement model is developed and implemented based on a detailed software prototype and parallel system architecture parameters in order to simulate the functionality and runtime behavior of the algorithm. Estimates for key performance measures are derived from these simulations and are validated with benchmark problem computations obtained using the actual parallel system. The results illustrate the potential benefits of the new methodology for designing high performance parallel FEM algorithms.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4526979,no
Benchmarking Classification Models for Software Defect Prediction: A Proposed Framework and Novel Findings,2008,"Software defect prediction strives to improve software quality and testing efficiency by constructing predictive classification models from code attributes to enable a timely identification of fault-prone modules. Several classification models have been evaluated for this task. However, due to inconsistent findings regarding the superiority of one classifier over another and the usefulness of metric-based classification in general, more research is needed to improve convergence across studies and further advance confidence in experimental results. We consider three potential sources for bias: comparing classifiers over one or a small number of proprietary data sets, relying on accuracy indicators that are conceptually inappropriate for software defect prediction and cross-study comparisons, and, finally, limited use of statistical testing procedures to secure empirical findings. To remedy these problems, a framework for comparative software defect prediction experiments is proposed and applied in a large-scale empirical comparison of 22 classifiers over 10 public domain data sets from the NASA Metrics Data repository. Overall, an appealing degree of predictive accuracy is observed, which supports the view that metric-based classification is useful. However, our results indicate that the importance of the particular classification algorithm may be less than previously assumed since no significant performance differences could be detected among the top 17 classifiers.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4527256,no
FEDC: Control Flow Error Detection and Correction for Embedded Systems without Program Interruption,2008,"This paper proposes a new technique called CFEDC to detect and correct control flow errors (CFEs) without program interruption. The proposed technique is based on the modification of application software and minor changes in the underlying hardware. To demonstrate the effectiveness of CFEDC, it has been implemented on an OpenRISC 1200 as a case study. Analytical results for three workload programs show that this technique detects all CFEs and corrects on average about 81.6% of CFEs. These figures are achieved with zero error detection /correction latency. According to the experimental results, the overheads are generally low as compared to other techniques; the performance overhead and the memory overhead are on average 8.5% and 9.1%, respectively. The area overhead is about 4% and the power dissipation increases by the amount of 1.5% on average.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4529318,no
Quantitative Assessment of Enterprise Security System,2008,In this paper we extend a model-based approach to security management with concepts and methods that provide a possibility for quantitative assessments. For this purpose we introduce security metrics and explain how they are aggregated using the underlying model as a frame. We measure numbers of attack of certain threats and estimate their likelihood of propagation along the dependencies in the underlying model. Using this approach we can identify which threats have the strongest impact on business security ob jectives and how various security controls might differ with regard to their effect in reducing these threats.,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4529442,no
Admon: ViSaGe Administration And Monitoring Service For Storage Virtualization in Grid Environment,2008,"This work is part of the ViSaGe project. This project concerns the storage virtualization applied in the grid environment. Its goal is to create and manage virtual storage resources by aggregating geographically distributed physical storage resources shared on a Grid. To these shared resources, a quality of service will be associated and related to the data storage performance. In a Grid environment, sharing resources may improve performances if these resources are well managed and if the management software obtains sufficient knowledge about the grid resources workload (computing nodes, storage nodes and links). The grid resources workload is mainly perceived by a monitoring system. Several existing monitoring systems are available for monitoring the grid resources and applications. Each one provides informations according to its aim. For example, Network Weather Service [6] is designed to monitor grid computing nodes and links. On the other hand, Netlogger [8] monitors grid resources and applications in order to detect application's bottleneck. These systems are useful for a post mortem analysis. However, in ViSaGe, we need a system that analyzes the necessary nodes state during execution time. This system is represented by the ViSaGe Administration and monitoring service ""Admon"". In this paper, we present our scalable distributed system: Admon. Admon traces applications, and calculates the system resources consumption (CPU, Disks, Links). Its originality consists in providing a new opportunity to improve virtual data storage performance by using workload's constraints (e.g., maximum CPU usage percentage). Many constraints will be discussed (such as time's constraint). These constraints allow performance improvement by assigning nodes to the ViSaGe's jobs in an effective manner.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4530214,no
Efficient Approximate Wordlength Optimization,2008,"In this paper, the problem of bounding the performance of good wordlength combinations for fixed-point digital signal processing flowgraphs is addressed. By formulating and solving an approximate optimization problem, a lower bounding curve on attainable cost/quality combinations is rapidly calculated. This curve and the associated wordlength combinations are useful in several situations, and can serve as starting points for real design searches. A detailed design example that utilizes these concepts is given.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4531730,no
Adaptive Fault Management of Parallel Applications for High-Performance Computing,2008,"As the scale of high-performance computing (HPC) continues to grow, failure resilience of parallel applications becomes crucial. In this paper, we present FT-Pro, an adaptive fault management approach that combines proactive migration with reactive checkpointing. It aims to enable parallel applications to avoid anticipated failures via preventive migration and, in the case of unforeseeable failures, to minimize their impact through selective checkpointing. An adaptation manager is designed to make runtime decisions in response to failure prediction. Extensive experiments, by means of stochastic modeling and case studies with real applications, indicate that FT-Pro outperforms periodic checkpointing, in terms of reducing application completion times and improving resource utilization, by up to 43 percent.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4531733,no
