Document Title,Abstract,Year,PDF Link,Authors,Source,abs,label
A Concept-Based Framework for Retrieving Evidence to Support Emergency Physician Decision Making at the Point of Care,"<p>The goal of evidence-based medicine is to uniformly apply evidence gained from scientific research to aspects of clinical practice. In order to achieve this goal, new applications that integrate increasingly disparate health care information resources are required. Access to and provision of evidence must be seamlessly integrated with existing clinical workflow and evidence should be made available where it is most often required - at the point of care. In this paper we address these requirements and outline a concept-based framework that captures the context of a current patient-physician encounter by combining disease and patient-specific information into a logical query mechanism for retrieving relevant evidence from the Cochrane Library. Returned documents are organized by automatically extracting concepts from the evidence-based query to create meaningful clusters of documents which are presented in a manner appropriate for point of care support. The framework is currently being implemented as a prototype software agent that operates within the larger context of a multi-agent application for supporting workflow management of emergency pediatric asthma exacerbations.</p>",2007,http://dl.acm.org/citation.cfm?id=1793667&CFID=932217831&CFTOKEN=19390991,"Dympna O?Sullivan, Ken Farion, Stan Matwin, Wojtek Michalowski and Szymon Wilk","Book Series Lecture Notes in Computer Science,Volume 4924/2008, Book Knowledge Management for Health Care Procedures, Pages 117-126, SpringerLink Date Saturday, February 23, 2008",no,no
A content based retrieval system for renal scintigraphy images,"Increasing amount of image data raises the importance of content based query systems. Increasing hardware capacity and improving methods makes development of such systems more feasible. In this study, we aim to develop a content based image retrieval for renal (kidney) scintigraphy images. For this purpose, problem analysis, literature survey, data gathering/processing studies are done, and a content-based image retrieval (CBIR) engine software prototype is developed",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1659919,"Nar, F.a , Mumcuog?lu, E.a , Koc?ak, U.a , Ug?ur, O?.b , Bozkurt, F.b , Aslan, M.b , Gu?nes?tepe, K.a , Cerrahog?lu, M.a","(2006) 2006 IEEE 14th Signal Processing and Communications Applications Conference, 2006, art. no. 1659919, .",no,no
A Cost-Effective Usability Evaluation Progression for Novel Interactive Systems,"This paper reports on user interface design and evaluation for a mobile, outdoor, augmented reality (AR) application. This novel system, called the battlefield augmented reality system (BARS), supports information presentation and entry for situation awareness in an urban war fighting setting. To our knowledge, this is the first time extensive use of usability engineering has been systematically applied to development of a real-world AR system. Our BARS team has applied a cost-effective progression of usability engineering activities from the very beginning of BARS development. We discuss how we first applied cycles of structured expert evaluations to BARS user interface development, employing user interface mockups representing occluded (non-visible) objects. Then we discuss how results of these evaluations informed our subsequent user-based statistical evaluations and formative evaluations, and present these evaluations and their outcomes. Finally, we discuss how and why this sequence of types of evaluation is cost-effective.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265653,"By Deborah Hix , Joseph L. Gabbard , J. Edward Swan II , Mark A. Livingston , Tobias H. Hollerer , Simon J. Julier , Yohan Baillot , Dennis Brown","Found in: Proceedings of the 37th Annual Hawaii International Conference on System Sciences (HICSS'04) - Track 9
Issue Date:January 2004 , pp. 90276c",no,no
A Critical Analysis of the Council of Europe Recommendations on e-voting,"<p>In September 2004, the Council of Europe's Committee of Ministers officially adopted a set of standards recommended by the Multidisciplinary Ad Hoc Group of Specialists on legal, operational and technical standards for e-enabled voting [7].</p> <p>This paper puts the standards in their historical context, examines them according to established software engineering principles, and finally suggests how they could be restructured.</p>",2006,http://dl.acm.org/citation.cfm?id=1251012&CFID=932213982&CFTOKEN=88044337,Margaret McGaley and J. Paul Gibson,"Proceedings of the USENIX/Accurate Electronic Voting Technology Workshop 2006 on Electronic Voting Technology Workshop, Vancouver, B.C., Canada, Pages: 9 ? 9, Year of Publication: 2006",no,no
A Critical Approach to Privacy Research in Ubiquitous Environments ? Issues and Underlying Assumptions,"<p>This paper explores the different aspects of ubiquitous environments with regard to the protection of individuals' private life. A critical review of the relative research reveals two major trends. First, that there is a shift in the perception of privacy protection, which is increasingly considered as a responsibility of the individual, instead of an individual right protected by a central authority, such as a state and its laws. Second, it appears that current IT research is largely based on the assumption that personal privacy is quantifiable and bargainable. This paper discusses the impact of these trends and underlines the issues and challenges that emerge. The paper stresses that, for the time being, IT research approaches privacy in ubiquitous environments without taking into account the different aspects and the basic principles of privacy. Finally the paper stresses the need for multidisciplinary research in the area, and the importance that IT research receives input from other related disciplines such as law and psychology. The aim of the paper is to contribute to the ongoing discourse about the nature of privacy and its role in ubiquitous environments and provide insights for future research.</p>",2007,http://dl.acm.org/citation.cfm?id=1780831&CFID=932219082&CFTOKEN=62315287,"Maria Karyda, Stefanos Gritzalis and Jong Hyuk Park","Book Series Lecture Notes in Computer Science, Volume 4809/2007, Book Emerging Directions in Embedded and Ubiquitous Computing, Pages 12-21, SpringerLink Date Tuesday, November 27, 2007",no,no
A Cross-Cultural Study of Flow Experience in the IT Environment: The Beginning,"<p>Flow (optimal) experience is being widely investigated in the IT environments: in human-computer interaction, computer-mediated communication and exploratory behaviour, consumer and marketing applications, educational practice, playing computer, video and online games, psychological rehabilitation of the disabled, web usability testing, etc. Though a universal experience, flow can be expected to be culture specific and culture dependent. Optimal experience has only rarely been studied from a cross-cultural perspective, mainly in the field of gaming activities. An overview of the earliest works in the field is presented, as well as empirical evidences of a study referring to the flow experience and interaction patterns inherent to the samples of Russian and French online players.</p>",2007,http://dl.acm.org/citation.cfm?id=1784321&CFID=932213054&CFTOKEN=98968856,Alexander E. Voiskounsky,"Book Series Lecture Notes in Computer Science, Volume 4564/2007, Book Online Communities and Social Computing, Pages 202-211, SpringerLink Date Friday, August 24, 2007",no,no
A Cross-Lingual Framework for Web News Taxonomy Integration,"<p>There are currently many news sites providing online news articles, and many Web news portals arise to provide clustered news categories for users to browse more related news reports and realize the news events in depth. However, to the best of our knowledge, most Web news portals only provide monolingual news clustering services. In this paper, we study the cross-lingual Web news taxonomy integration problem in which news articles of the same news event reported in different languages are to be integrated into one category. Our study is based on cross-lingual classification research results and the cross-training concept to construct SVM-based classifiers for cross-lingual Web news taxonomy integration. We have conducted several experiments with the news articles from Google News as the experimental data sets. From the experimental results, we find that the proposed cross-training classifiers outperforms the traditional SVM classifiers in an all-round manner. We believe that the proposed framework can be applied to different bilingual environments.</p>",2006,http://dl.acm.org/citation.cfm?id=2111263&CFID=932218719&CFTOKEN=56773150,"Cheng-Zen Yang, Che-Min Chen and Ing-Xiang Chen","Book Series Lecture Notes in Computer Science, Volume 4182/2006, Book Information Retrieval Technology, Pages 270-283, SpringerLink Date Wednesday, October 18, 2006",no,no
A curriculum for embedded system engineering,"This paper describes an educational achievement in embedded system field from the academic year 2010 to 2011 in a national college of technology called &#x201C;KOSEN.&#x201D; We the authors have been continuing specialized education in the field of the embedded system in order to let students be work-ready engineers in various industrial fields. However, it is recently getting harder and harder for students to imagine their future vision as engineers and to excite their spontaneous motivation to learn. One reason is the fact that it is difficult for students to imagine relationship between final embedded-products and elementary contents of lectures that they study in the college. Furthermore, recent embedded systems are too complex to put the whole picture together. To cope with these problems, we have achieved the following four activities for improvement of our curriculum: 1) Maturing educational partnership with local schools through open-lectures to provide early education to pupils who will be our students in future; 2) Developing a multiplicity-carrying microprocessor board as a new teaching material with its online manual and software libraries; 3) Carrying out several special lectures and meetings which are held for various stages of students in order to provide opportunities for them to become interested in the actual industrial fields; 4) Incorporating a lecture on model-based embedded-product design for advanced course students. Through these activities for improvement of our curriculum, we had provided diverse opportunities to students. We verified the effectiveness of our activities by using questionnaires, and then more than 80% of students affirmed the effectiveness.",2012,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6360376,Rudolph E. Seviora,ACM Transactions on Embedded Computing Systems (2005),no,no
A Data Integration Broker for Healthcare Systems,"A prototype information broker uses a software service model to collect and integrate diverse patient data from autonomous healthcare agencies, potentially solving many problems that challenge current enterprise-based file systems",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160220,"By David Budgen , Michael Rigby , Pearl Brereton , Mark Turner","Computer 
Issue Date:April 2007 
pp. 34-41",no,no
A DEFECT PREDICTION METHOD FOR SOFTWARE VERSION DIFFERENCES,"One of the challenges in any software organization is the prediction of acceptable degree of software. The effort invested in a software project in terms of required hours of work against required number of people for a project is probably one of the most important and most analysed variables in recent years in the process of prediction of project success. Thus, effort estimation with a high grade of reliability remains as one of the risky components where in the project manager has to deal with it since the inception of project development. Over the past decades hence, prediction of product quality within software engineering, preventive and corrective actions within the various project phases are constantly improved. This paper therefore introduces a novel hybrid method of random forest (RF) and Fuzzy C Means (FCM) clustering for building defect prediction model. Initially, random forest algorithm is used to perform a preliminary screening of variables and to gain an importance ranks. Subsequently, the new dataset is input into the FCM technique, which is responsible for building interpretable models for predicting defects. The capability of this combination method is evaluated using basic performance measurements along with a 10-fold cross validation. FCM and RF technique is applied to software components such as people, process, which act as major decision making model for project success. Experimental results show that the proposed method provides a higher accuracy and a relatively simple model enabling a better prediction of software defects.",2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6892743,Yomi Kastro,"Submitted to the Institute for Graduate Studies in Science and Engineering in partial fulfillment of the requirements for the degree of Master of Science, Graduate Program in Computer Engineering, Bogazi?i University, 2006",no,no
A Deferrable Scheduling Algorithm for Real-Time Transactions Maintaining Data Freshness,"Periodic update transaction model has been used to maintain freshness (or temporal validity) of real-time data. Period and deadline assignment has been the main focus in the past studies such as the more-less scheme by Xiong and Ramamrithan (2004) in which update transactions are guaranteed by the deadline monotonic scheduling algorithm by Leung and Whitehead (1982) to complete by their deadlines. In this paper, we propose a novel algorithm, namely deferrable scheduling, for minimizing imposed workload while maintaining temporal validity of real-time data. In contrast to previous work, update transactions scheduled by the deferrable scheduling algorithm follow a sporadic task model. The deferrable scheduling algorithm exploits the semantics of temporal validity constraint of real-time data by judiciously deferring the sampling times of update transaction jobs as late as possible. We present a theoretical analysis of its processor utilization, which is verified in our experiments. Our experimental results also demonstrate that the deferrable scheduling algorithm is a very effective approach, and it significantly outperforms the more-less scheme in terms of reducing processor workload",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1563093,"By Ming Xiong , Song Han , Kam-Yiu Lam","Found in: 26th IEEE International Real-Time Systems Symposium (RTSS'05) 
Issue Date:December 2005 
pp. 27-37",no,no
A design for evidence - based soft research,"Data processing is a key issue of the design of RFID middleware, and the general processing mode is based on Event. The data processed and output by this solution canpsilat really meet the needs of various application systems; nevertheless, the complex event processing technology can overcome the disadvantage effectively. According to the principles that can make it effective to manage RFID data, this paper proposes a RFID data processing model based on complex event processing (CEP) technique, provides the related definitions, elaborates the function modules involved (the event monitoring module, the buffer module, the event processing module and the event sending/subscribe module) and their solutions.",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4723171,"WenQian Liu, Charles L. Chen, Vidya Lakshminarayanan, Dewayne E. Perry","ACM SIGSOFT Software Engineering Notes,   Volume 30 Issue 4, July 2005, Publisher: ACM",no,no
A Domain Engineering Approach to Specifying and Applying Reference Models,"Business process modeling and design, as an essential part of business process management, has gained much attention in recent years. An important tool for this purpose is reference models, whose aim is to capture domain knowledge and assist in the design of enterprise specific business processes. However, while much attention has been given to the content of these models, the actual process of reusing this knowledge has not been extensively addressed. In order to address this lack, we propose to utilize a domain engineering approach, called Applicationbased Domain Modeling (ADOM), for the purpose of specifying and applying reference models. We demonstrate the approach by specifying a sell process reference model and instantiating it for a chocolate manufacturer. The benefits of utilizing the ADOM approach for specifying business models are the provisioning of validation templates by the reference models and the ability to apply the approach to various modeling languages and business process views.",2005,http://hevra.haifa.ac.il/~is-web/images/lecturers_files/spnina_files/publications/ReinhartzSofferSturm.pdf,"Iris Reinhartz-Berger, Pnina Soffer, Arnon Sturm","Proceedings of the Workshop Enterprise Modelling and Information Systems Architectures, volume 75 of Lecture Notes in Informatics",no,no
A family of empirical studies to compare informal and optimization-based planning of software releases,"Replication of experiments, or performing a series of related studies, aims at attaining a higher level of validity of results. This paper reports on a series of empirical studies devoted to comparing informal release planning with two variants of optimization-based release planning.Two research questions were studied: How does optimization-based release planning compare with informal planning in terms of (i) time to generate release plans, and the feasibility and quality of those plans, and (ii) understanding and confidence of generated solutions and trust in the release planning process.For the family of empirical studies, the paper presents two types of results related to (i) the two research questions to compare the release planning techniques, and (ii) the evolution and lessons learned while conducting the studies.",2006,http://dl.acm.org/citation.cfm?id=1159766&CFID=932222700&CFTOKEN=76569322,"Gengshen Du, Jim McElroy, Guenther Ruhe","September 2006, ISESE '06: Proceedings of the 2006 ACM/IEEE international symposium on Empirical software engineering, Publisher: ACM",no,no
A Fast Computation of Inter-class Overlap Measures Using Prototype Reduction Schemes,"<p>In most Pattern Recognition (PR) applications, it is advantageous if the accuracy (or error rate) of the classifier can be evaluated or bounded prior to testing it in a real-life setting. It is also well known that if the two class-conditional distributions have a large overlapping volume1, the classification accuracy is poor. This is because, if we intend to use the classification accuracy as a criterion for evaluating a PR system, the points within the overlapping volume tend to have less significance in determining the prototypes. Unfortunately, the computation of the indices which quantify the overlapping volume is expensive. In this vein, we propose a strategy of using a Prototype Reduction Scheme (PRS) to approximately compute the latter. In this paper, we show that by completely discarding2 the points not included by the PRS, we can obtain a reduced set of sample points, using which, in turn, the measures for the overlapping volume can be computed. The value of the corresponding figures is comparable to those obtained with the original training set (i.e., the one which considers all the data points) even though the computations required to obtain the prototypes and the corresponding measures are significantly less. The proposed method has been rigorously tested on artificial and real-life data sets, and the results obtained are, in our opinion, quite impressive - sometimes faster by two orders of magnitude.</p>",2008,http://dl.acm.org/citation.cfm?id=1788731&CFID=932213803&CFTOKEN=52754920,Sang-Woon Kim and B. John Oommen,"Book Series Lecture Notes in Computer Science, Volume 5032/2008, Book Advances in Artificial Intelligence, Pages 173-184, SpringerLink Date Tuesday, May 20, 2008",no,no
A first draft of a Model-driven Method for Designing Graphical User Interfaces of Rich Internet Applications,"The design and development of graphical user interfaces for rich Internet applications are well known difficult tasks with tools. The designers must be aware of the computing platform, the user's characteristics (education, social background, among others) and the environment within users must interact with the application. We present a method to design this type of user interfaces that is model-based and applies an iterative series of XSLT transformations to translate the abstract modeled interface into a final user interface that is coded in a specific platform. In order to avoid the proprietary engines dependency for designing tasks. UsiXML is used to model all the levels. Several model based technologies have been proposed and in this paper we review a XML-compliant user interface description language: XAML",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4022089,"By Francisco J. Martinez-Ruiz , Jaime Munoz Arteaga , Jean Vanderdonckt , Juan M. Gonzalez-Calleros , Ricardo Mendoza","Found in: Fourth Latin American Web Congress (LA-WEB'06)  
Issue Date:October 2006 , pp. 32-38",no,no
A flexible method for maintaining software metrics data: a universal metrics repository.,"A neglected aspect of software measurement programs is what will be done with the metrics once they are collected. Often databases of metrics information tend to be developed as an afterthought, with little, if any concessions to future data needs, or long-term, sustaining metrics collection efforts. A metric repository should facilitate an on-going metrics collection effort, as well as serving as the ?corporate memory? of past projects, their histories and experiences. In order to address these issues, we describe a transformational view of software development that treats the software development process as a series of artifact transformations. Each transformation has inputs and produces outputs. The use of this approach supports a very flexible software engineering metrics repository.",2004,http://www.sciencedirect.com/science/article/pii/S016412120300092X,W. Harrison.,"Journal of Systems and Software 72 (2):225-234, 2004.",no,no
A formal framework for component deployment,"Prefetching is an effective method for minimizing the number of fetches between the client and the server in a database management system. In this paper, we formally define the notion of prefetching. We also formally propose new notions of the type-level access locality and type-level access pattern. The type-level access locality is a phenomenon that repetitive patterns exist in the attributes referenced. The type-level access pattern is a pattern of attributes that are referenced in accessing the objects. We then develop an efficient capturing and prefetching policy based on this formal framework. Existing prefetching methods are based on object-level or page-level access patterns, which consist of object-ids or page-ids of the objects accessed. However, the drawback of these methods is that they work only when exactly the same objects or pages are accessed repeatedly. In contrast, even though the same objects are not accessed repeatedly, our technique effectively prefetches objects if the same attributes are referenced repeatedly, i.e., if there is type-level access locality. Many navigational applications in object-relational database management systems (ORDBMSs) have type-level access locality. Therefore, our technique can be employed in ORDBMSs to effectively reduce the number of fetches, thereby significantly enhancing the performance. We also address issues in implementing the proposed algorithm. We have conducted extensive experiments in a prototype ORDBMS to show effectiveness of our algorithm. Experimental results using the 007 benchmark, a real GIS application, and an XML application show that our technique reduces the number of fetches by orders of magnitude and improves the elapsed time by several factors over on-demand fetching and context-based prefetching, which is a state-of-the-art prefetching method. These results indicate that our approach provides a new paradigm in prefetching that improves performance of navigational applications significantly and is a practical method that can be implemented in commercial ORDBMSs.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1501825,"Yu David Liu, Scott F. Smith","October 2006 
OOPSLA '06: Proceedings of the 21st annual ACM SIGPLAN conference on Object-oriented programming systems, languages, and applications 
Publisher: ACM",no,no
A Formalism for Context-Aware Mobile Computing,"Mobile devices, such as mobile phones and PDAs, have gained wide-spread popularity. Applications for this kind of mobile devices have to adapt to changes in context, such as variations in network bandwidth, battery power, connectivity, reachability of services and hosts, and so on. In this paper, we define context-aware action systems that provides a systematic method for managing and processing context information. The meaning of context-aware action systems is defined in terms of classical action systems, so that the properties of context-aware action systems can be proved using standard action systems proof techniques. We describe the essential notions of this formalism and illustrate the framework with examples on context-aware services for mobile applications.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372043,"By Lu Yan , Kaisa Sere","Found in: Third International Symposium on Parallel and Distributed Computing/Third International Workshop on Algorithms, Models and Tools for Parallel Computing on Heterogeneous Networks (ISPDC/HeteroPar'04) 
Issue Date:July 2004 , pp. 14-21",no,no
A framework approach to measure innovation maturity,"Innovation is central theme in mission statement of majority of knowledge 
economy organizations. It represents core renewal process in any organization. Competitive 
organizations innovate, continuously. But, how are they aware that they are improving 
enough? Three important phases arise when one look at an organization with respect to 
Innovation in its entirety, through a cluster of relationships:",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1559252,"Narayana, M.G.P.L.","(2005) IEEE International Engineering Management Conference, II, art. no. 1559252, pp. 765-769.",no,no
A Framework for Assessing Business Value of Service Oriented Architectures,"This paper presents a framework used for analyzing decisions regarding implementations of service oriented architectures. The framework assesses the business value of SOA by measuring the modification cost, i.e. the effort needed to become service oriented, and the benefits that can be gained for an enterprise using SOA.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4278719,"By Robert Lagerstrom , Jonas Ohrstrom","Found in: IEEE International Conference on Services Computing (SCC 2007) 
Issue Date:July 2007 
pp. 670-671",no,no
A framework for building reality-based interfaces for wireless-grid applications,"While significant advances have been made improve speech recognition performance, and gesture and handwriting recognition, speech- and pen-based systems have still not found broad acceptance in everyday life. One reason for this is the inflexibility of each input modality when used alone. Human communication is very natural and flexible because we can take advantage of a multiplicity of communication signals working in concert to supply complementary information or increase robustness with redundancy. We present a multimodal interface capable of jointly interpreting speech, pen-based gestures, and handwriting in the context of an appointment scheduling application. The interpretation engine based on semantic frame merging correctly interprets 80% of a multimodal data set assuming perfect speech and gesture/handwriting recognition; in the presence of recognition errors the interpretation performance is in the range of 35-62%. A dialog processing scheme uses task domain knowledge to guide the user in supplying information and permits human-computer interactions to span several related multimodal input events",1996,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=550794,Orit Shaer,"CHI '05: CHI '05 extended abstracts on Human factors in computing systems, April 2005 , Publisher: ACM",no,no
A Framework for Classifying and Comparing Software Architecture Evaluation Methods,"Software architecture evaluation has been proposed as a means to achieve quality attributes such as maintainability and reliability in a system. The objective of the evaluation is to assess whether or not the architecture lead to the desired quality attributes. Recently, there have been a number of evaluation methods proposed. There is, however, little consensus on the technical and nontechnical issues that a method should comprehensively address and which of the existing methods is most suitable for a particular issue. We present a set of commonly known but informally described features of an evaluation method and organizes them within a framework that should offer guidance on the choice of the most appropriate method for an evaluation exercise. We use this framework to characterise eight SA evaluation methods.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1290484,"Muhammad Ali Babar, Liming Zhu, Ross Jeffery",Proceedings Australian Software Engineering Conference (ASWEC). (2004),no,no
A framework for developing a knowledge-based decision support system for management of variation orders for institutional buildings,"This study describes the framework for developing a knowledge-based decision support system (KBDSS) for making more informed decisions for managing variation orders in institutional buildings. The KBDSS framework consists of two main components, i.e., a knowledge base and a decision support shell. The database will be developed through collecting data from source documents of 80 institutional projects, questionnaire survey, literature review and in-depth interview sessions with the professionals who were involved in these institutional projects. The knowledge base will be developed through initial sieving and organization of data from the database. The decision support shell would provide decision support through a structured process consisting of building the hierarchy between the main criteria and the suggested controls, rating the controls, and analyzing the controls for selection through multiple analytical techniques. The KBDSS would be capable of displaying variations and their relevant details, a variety of filtered knowledge, and various analyses of available knowledge. This would eventually lead the decision maker to the suggested controls for variations and assist in selecting the most appropriate controls. The KBDSS would assist project managers by providing accurate and timely information for decision-making, and a user-friendly system for analyzing and selecting the controls for variation orders for institutional buildings. The study would assist building professionals in developing an effective variation management system. The system would be helpful for them to take proactive measures for reducing variation orders. The findings from this study would also be valuable for all building professionals in general.",2006,http://itcon.org/paper/2006/21,"Arain, F.M., Pheng, L.S.","(2006) Electronic Journal of Information Technology in Construction, 11, pp. 285-307.",no,no
A framework for evaluating usability of clinical monitoring technology,"Technology design is a complex task, and acceptability is enhanced when usability is central to its design. Evaluating usability is a challenge for purchasers and developers of technology. We have developed a framework for testing the usability of clinical monitoring technology through literature review and experience designing clinical monitors. The framework can help designers meet key international usability norms. The framework includes these direct testing methods: thinking aloud, question asking, co-discovery, performance and psychophysiological measurement. Indirect testing methods include: questionnaires and interviews, observation and ethnographic studies, and self-reporting logs. Inspection, a third usability testing method, is also included. The use of these methods is described and practical examples of how they would be used in the development of an innovative monitor are given throughout. This framework is built on a range of methods to ensure harmony between users and new clinical monitoring technology, and have been selected to be practical to use.",2007,https://link.springer.com/article/10.1007%2Fs10877-007-9091-y?LI=true,"Jeremy Daniels, Sidney Fels, Andre Kushniruk, Joanne Lim and J. Mark Ansermino","Journal Journal of Clinical Monitoring and Computing, Publisher Springer Netherlands, Volume 21, Number 5 / October, 2007, Pages 323-330, SpringerLink Date Thursday, August 16, 2007",no,no
A framework for methodologies of visual modeling language evaluation,"We present a framework of syntactic models for the definition and implementation of visual languages. We analyze a wide range of existing visual languages and, for each of them, we propose a characterization according to a syntactic model. The framework has been implemented in the Visual Language Compiler-Compiler (VLCC) system. VLCC is a practical, flexible and extensible tool for the automatic generation of visual programming environments which allows to implement visual languages once they are modeled according to a syntactic model",1997,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=626559,Anna E. Bobkowska,"MIS '05: Proceedings of the 2005 symposia on Metainformatics, November 2005, Publisher: ACM",no,no
A Framework for Software Engineering Experimental Replications,"Experimental replications are very important to the advancement of empirical software engineering. Replications are one of the key mechanisms to confirm previous experimental findings. They are also used to transfer experimental knowledge, to train people, and to expand a base of experimental evidence. Unfortunately, experimental replications are difficult endeavors. It is not easy to transfer experimental know-how and experimental findings. Based on our experience, this paper discusses this problem and proposes a Framework for Improving the Replication of Experiments (FIRE). The FIRE addresses knowledge sharing issues both at the intra-group (internal replications) and inter-group (external replications) levels. It encourages coordination of replications in order to facilitate knowledge transfer for lower cost, higher quality replications and more generalizable results.",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4492893,"By Manoel G. Mendon?a , Jos? C. Maldonado , Maria C.F. de Oliveira , Jeffrey Carver , Sandra C.P.F. Fabbri , Forrest Shull , Guilherme H. Travassos , Erika Nina H?hn , Victor R. Basili","Found in: 13th IEEE International Conference on Engineering of Complex Computer Systems (iceccs 2008) 
Issue Date:March 2008 
pp. 203-212",no,no
A framework for the design and verification of software measurement methods,"The paper presents a method for efficiently verifying service software. This method is used to design a service creation environment (SCE) for NTT's advanced intelligent network (advanced IN). The authors classify types of service software verifications, and then propose a verification method based on these classifications. This verification method consists of three steps: specification verification, simulation, and an actual machine test. The SCE provides a verification environment for each verification step. Use of this SCE shows that manpower required for verification can be reduced. The paper mainly describes verification of service logic programs (SLPs), but verification of management logic programs (MLPs), and operation logic programs (OLPs) is also briefly described",1994,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=512855,"Naji Habra, Alain Abran, Miguel Lopez, Asma Sellami","Journal of Systems and Software,   Volume 81 Issue 5, May 2008, Publisher: Elsevier Science Inc.",no,no
A framework for the effective adoption of software development methodologies,"Software reliability has been regarded as one of the most important quality attributes for software intensive systems, especially in defense domain. As most of weapon systems complicated functionalities and controls are implemented by software which is embedded in hardware systems, it became more critical to assure high reliability for software itself. However, many software development organizations in Korea defense domain have had problems in performing reliability engineered processes for developing mission-critical and/or safety-critical weapon systems. In this paper, we propose an effective framework with which software organizations can identify and select metrics associated software reliability, analyze the collected data, appraise software reliability, and develop software reliability prediction/estimation model based on the result of data analyses.",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4700335,"Fleming Woo, Romas Mikusauskas, Dean Bartlett, Rob Law","ACM-SE 44: Proceedings of the 44th annual Southeast regional conference, March 2006, Publisher: ACM",no,no
A Framework for Three-Dimensional Simulation of Morphogenesis,"We present COMPUCELL3D, a software framework for three-dimensional simulation of morphogenesis in different organisms. COMPUCELL3D employs biologically relevant models for cell clustering, growth, and interaction with chemical fields. COMPUCELL3D uses design patterns for speed, efficient memory management, extensibility, and flexibility to allow an almost unlimited variety of simulations. We have verified COMPUCELL3D by building a model of growth and skeletal pattern formation in the avian (chicken) limb bud. Binaries and source code are available, along with documentation and input files for sample simulations, at http:// compucell.sourceforge.net.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1541981,"By Trevor M. Cickovski , Chengbang Huang , Rajiv Chaturvedi , Tilmann Glimm , H. George E. Hentschel , Mark S. Alber , James A. Glazier , Stuart A. Newman , Jesus A. Izaguirre","Found in: IEEE/ACM Transactions on Computational Biology and Bioinformatics
Issue Date:October 2005 , pp. 273-288",no,no
A framework for virtual community business success: The case of the internet chess club,"Prior work has identified, in piecemeal fashion, desirable characteristics of virtual community businesses (VCBs) such as inimitable information assets, persistent handles fomenting trust, and an economic infrastructure. The present work develops a framework for the success of a subscription-based VCB by taking into account the above elements and considering as well an interplay of the membership (both regular members and volunteers), technical features of the interface, and an evolutionary business model that supports member subgroups as they form. Our framework is applied by an in-depth survey of use and attitude of regular members and volunteers in the Internet Chess Club (ICC), a popular subscription-based VCB. The survey results reveal that key features of the model are supported in the ICC case: member subgroups follow customized communication pathways; a corps of volunteers is supported and recognized, and the custom interface presents clear navigation pathways to the ICCs key large-scale information asset, a multi-million game database contributed by real-world chess Grandmasters who enjoy complimentary ICC membership. We conclude by discussing VCBs in general and how the framework might apply to other domains.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265466,"Ginsburg, M., Weisband, S.","(2004) Proceedings of the Hawaii International Conference on System Sciences, 37, art. no. INOCD08, pp. 3085-3094",no,no
"A Framework of Multi-Agent-Based Modeling, Simulation, and Computational Assistance in an obiquitous Environment","The author exemplifies the framework of PSI (Pervasive System for Indoor-GIS) for exploring the spatial model of dynamic human behavior and developing various services in an ubiquitous computational environment. This does not mean merely constructing a software framework; rather, it means attempting to establish an inclusive service framework for ubiquitous computing. The most advantageous aspect of this component-oriented framework is that it contributes toward developing various service applications for ubiquitous computation as the occasion demands. That is, service applications are expected to do modeling, simulation, monitoring, Web services, and other applications. The author also discusses the relative issues on making a coordinating bridge between behavioral sciences and multiagent systems.",2004,http://journals.sagepub.com/doi/abs/10.1177/0037549704046740,Kazuhiko Shibuya,"SIMULATION, Vol. 80, Issue 7?8, July?August 2004 367-380
?2004 The Society for Modeling and Simulation International
DOI: 10.1177/0037549704046740",no,no
